enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,experience_years,company_size_num,last_new_job_num,training_per_year,experience_bucket,city_dev_bucket
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,36,1.0,21.0,,1.0,1.6363636363636365,20+,High
29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0.0,15.0,74.5,5.0,2.9375,11-20,Medium
11561,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,5,,,never,83,0.0,5.0,,0.0,13.833333333333334,2-5,Medium
33241,city_115,0.789,,No relevent experience,,Graduate,Business Degree,<1,,Pvt Ltd,never,52,1.0,0.0,,0.0,52.0,0-1,Medium
666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0.0,21.0,74.5,4.0,0.36363636363636365,20+,Medium
21651,city_176,0.764,,Has relevent experience,Part time course,Graduate,STEM,11,,,1,24,1.0,11.0,,1.0,2.0,11-20,Medium
28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,,5,50-99,Funded Startup,1,24,0.0,5.0,74.5,1.0,4.0,2-5,High
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1.0,13.0,,5.0,1.2857142857142858,11-20,Medium
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1.0,7.0,74.5,1.0,5.75,6-10,High
699,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0.0,17.0,10000.0,5.0,6.833333333333333,11-20,High
29452,city_21,0.624,,No relevent experience,Full time course,High School,,2,,,never,32,1.0,2.0,,0.0,10.666666666666666,2-5,Medium
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0.0,5.0,7499.5,1.0,18.0,2-5,High
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0.0,21.0,2999.5,3.0,1.0454545454545454,20+,High
